name,seasonal,style,keys,desc,abv,ibu,location,location_id
Saison Nocturne,0,Ale,"Ale, A small amount of dark malt gives this dark saison hints of chocolate and roast malt, but Belgian yeast flavors dominate to create a beer that’s fruity and bubble-gummy with a nice tart finish. Whirlpool additions of Sabro hops, jasmine flowers, and grains of paradise further enhance the floral and tropical flavors in this beer.","A small amount of dark malt gives this dark saison hints of chocolate and roast malt, but Belgian yeast flavors dominate to create a beer that’s fruity and bubble-gummy with a nice tart finish. Whirlpool additions of Sabro hops, jasmine flowers, and grains of paradise further enhance the floral and tropical flavors in this beer.",5.2,18,Hellbent Brewing,1
Funky Red Patina,0,Amber,"Amber, The name is a nod to the hip hop we grew up on and our brewer's former life as a metal shop. This ale is well balanced, rich and malty with a dark auburn color and an airy toffee finish.","The name is a nod to the hip hop we grew up on and our brewer's former life as a metal shop. This ale is well balanced, rich and malty with a dark auburn color and an airy toffee finish.",5.3,22,Hellbent Brewing,1
German Hefeweizen,0,Hefeweizen,"Hefeweizen, Hellbent Brewing’s newest wheat beer is a German-style Hefeweizen brewed with 55% malted wheat and 45% malted barley to provide a soft, mellow malt backbone. Fermented with a classic German wheat beer yeast strain, this ale shines with yeast aromas of cloves, bananas, and candied sugar. Lemondrop hops added in the whirlpool lend a mild citrus note that complements the yeast flavors with a refreshing finish.","Hellbent Brewing’s newest wheat beer is a German-style Hefeweizen brewed with 55% malted wheat and 45% malted barley to provide a soft, mellow malt backbone. Fermented with a classic German wheat beer yeast strain, this ale shines with yeast aromas of cloves, bananas, and candied sugar. Lemondrop hops added in the whirlpool lend a mild citrus note that complements the yeast flavors with a refreshing finish.",5,17,Hellbent Brewing,1
Bourbon Barrel Aged Imperial Stout,0,Imperial Stout,"Imperial Stout, Hellbent Brewing’s very small batch of Imperial Stout is a full bodied rich in flavor and high in alcohol. It has a velvety chocolate flavor with subtle notes of coffee, bourbon, and toasted wood. It goes down smooth a finishes with a slight alcohol bite. It has been aged in second-use Woodinville whiskey barrels since october 2018.","Hellbent Brewing’s very small batch of Imperial Stout is a full bodied rich in flavor and high in alcohol. It has a velvety chocolate flavor with subtle notes of coffee, bourbon, and toasted wood. It goes down smooth a finishes with a slight alcohol bite. It has been aged in second-use Woodinville whiskey barrels since october 2018.",9,65,Hellbent Brewing,1
Amarillo Fresh Hop Hazy IPA,0,IPA,"IPA, The fresh hop Amarillo hazy IPA is a fresh hop beer brewed with fresh Yakima Valley Amarillos from Virgil Gamache Farms in Toppenish, WA added late in the brewing process. This beer is later dry hopped with pelletized Simcoe, pelletized Amarillo, Cryo-Citra and fresh Citra hops from Carpenter Ranches, also in the Yakima Valley. This IPA is brewed with Pale Malt, Carapils, malted white wheat, flaked oats and corn and fermented with Imperial Yeast’s Juice Yeast strain ","The fresh hop Amarillo hazy IPA is a fresh hop beer brewed with fresh Yakima Valley Amarillos from Virgil Gamache Farms in Toppenish, WA added late in the brewing process. This beer is later dry hopped with pelletized Simcoe, pelletized Amarillo, Cryo-Citra and fresh Citra hops from Carpenter Ranches, also in the Yakima Valley. This IPA is brewed with Pale Malt, Carapils, malted white wheat, flaked oats and corn and fermented with Imperial Yeast’s Juice Yeast strain ",6.1,,Hellbent Brewing,1
Blood Orange DANG! IPA,5,IPA,"IPA, Blood Orange IPA takes our crowd favorite, Dang! Citra up a notch with the addition of blood orange.","Blood Orange IPA takes our crowd favorite, Dang! Citra up a notch with the addition of blood orange.",6.7,50,Hellbent Brewing,1
Rogue Wave IPA,0,IPA,"IPA, True to style, this West Coast IPA packs a punch with its hop aromas. Featuring Simcoe hops, this beer bursts with citrus, pine and stone fruit aromas. Cascade and special hand selected Amarillo round out the hop profile with floral and tropical aromas. Brewed with Pale, Dextrin, and C20 malts for a light bready malt sweetness.","True to style, this West Coast IPA packs a punch with its hop aromas. Featuring Simcoe hops, this beer bursts with citrus, pine and stone fruit aromas. Cascade and special hand selected Amarillo round out the hop profile with floral and tropical aromas. Brewed with Pale, Dextrin, and C20 malts for a light bready malt sweetness.",6.9,60,Hellbent Brewing,1
Status: Unclear Hazy IPA,0,IPA,"IPA, Brewed with malted two row barley, malted white wheat, corn and oats. This beer features, El Dorado, Simcoe, Ekuanot and Amarillo hops which has multiple fruit aromas like melon, papaya, pine and citrus. It is dry hopped with the varieties listed above at 2.5 lbs per barrel","Brewed with malted two row barley, malted white wheat, corn and oats. This beer features, El Dorado, Simcoe, Ekuanot and Amarillo hops which has multiple fruit aromas like melon, papaya, pine and citrus. It is dry hopped with the varieties listed above at 2.5 lbs per barrel",6.5,28,Hellbent Brewing,1
Hellbent IPA Remix,0,IPA,"IPA, none",none,7,69,Hellbent Brewing,1
DANG! CITRA IPA,0,IPA,"IPA, none",none,6.6,60,Hellbent Brewing,1
